Category,Board / Use,Reference,Item,Manufacturer,MPN / Exact spec,Qty per CalcText,Qty for 2,Owned?,Qty to Buy,Notes
Core electronics,Mainboard,U1,LoRa MCU module,Seeed Studio,Wio-E5-LE,1,2,No,2,DigiKey cart. Buy exactly 2; no spare currently included.
Power,Mainboard,U2,Boost converter,Texas Instruments,TPS61299DRLR,1,2,No,4,DigiKey cart: 2 required + 2 spares. Non-A variant is locked.
Keypad,Mainboard,U3,16-bit I/O expander,NXP,"PCAL9535APW,118",1,2,No,3,DigiKey cart: 2 required + 1 spare.
Power,Mainboard,L1,1 uH power inductor,INPAQ,WIP252010P-1R0ML,1,2,No,20,LCSC C315715. 20-piece MOQ; only 2 required for two units.
RF,Mainboard,L2,0 ohm series link,YAGEO,RC0402JR-070RL,1,2,No,10,DigiKey cart: 2 required; buying 10. Keep designator L2.
Power,Mainboard,"C1,C2",10 uF ceramic capacitor,Samsung Electro-Mechanics,"CL21B106KOQNNNE; 10uF ±10%, 16V, X7R, 0805",2,4,Yes (20),0,Owned stock.
Decoupling,Mainboard,"C3,C5,C6",100 nF ceramic capacitor,KEMET,"C0603C104K5RACTU; 0.1uF ±10%, 50V, X7R, 0603",3,6,Yes (75),0,Owned stock.
Power,Mainboard,C4,4.7 uF ceramic capacitor,Samsung Electro-Mechanics,"CL10B475KQ8NNNC; 4.7uF ±10%, 6.3V, X7R, 0603",1,2,Yes (20),0,Owned stock.
RF,Mainboard,"C7,C8",Pi-network shunt capacitor footprints,—,"0402, DNP",0 fitted,0 fitted,N/A,0,DNP in Rev A.
Keypad / control,Mainboard,R1-R3,100 kOhm resistor,Stackpole Electronics,RMCF0603FT100K,3,6,Yes (50),0,Owned stock.
Keypad / control,Mainboard,R4-R6,10 kOhm resistor,YAGEO,RC0603FR-0710KL,3,6,Yes (100),0,Owned stock.
Display connection,Mainboard + LCD interposer,Mainboard J1; Interposer J2,10-pin FFC connector,Hirose,FH34SRJ-10S-0.5SH(99),2,4,No,5,"DigiKey cart: 4 required + 1 spare. 0.5mm pitch, for 0.3mm FFC."
Display connection,LCD interposer,J1,24-pin display FPC connector,Hirose,FH34SRJ-24S-0.5SH(99),1,2,No,3,"DigiKey cart: 2 required + 1 spare. 0.5mm pitch, for ~0.30mm display FPC."
Display decoupling,LCD interposer,C1-C8,1 uF ceramic capacitor,TDK,"C1005X5R1E105K050BC; 1uF ±10%, 25V, X5R, 0402",8,16,No,25,DigiKey cart: 16 required; buying 25.
Display,Mechanical / electrical,LCD1,2.9in reflective monochrome TFT display,Hicenda,HLCD290TB; ST7305; 168x384; black/white; 24-pin 0.5mm FPC,1,2,No,2,Hicenda has stock. Direct Jersey shipment. Final PI received with correct Jersey delivery address and destination.
RF,Mainboard / enclosure,AE1,868 MHz wire antenna,Owned wire,~86.3mm quarter-wave; insulated solid-core wire ~0.6mm diameter,~86.3 mm,~172.6 mm,Yes,0,Owned wire is sufficient.
Power / wiring,Mainboard / enclosure,"BAT+, BAT-",Battery hookup wire,Owned wire,Insulated solid-core wire ~0.6mm diameter,As needed,As needed,Yes,0,Use existing wire stock.
PCB fabrication,Mainboard,PCB,CalcText Rev A mainboard PCB,JLCPCB,"0.8mm, 2-layer, 1oz copper, green soldermask, white silkscreen, HASL with lead",1,2,No,5,JLCPCB minimum/order quantity 5. Current checkout total £3.14 before Ship2Me forwarding.
Donor hardware,Enclosure / keypad,DONOR1,Compatible donor calculator,Casio / eBay seller,Casio FX-83GTX Scientific Calculator - NO COVER - BLACK,1,2,Yes (1 donor),1,"One donor already owned; buy one additional donor on eBay. Item £14.99, free UK postage, then Ship2Me."
Assembly consumable,Assembly,—,No-clean tack flux,Chip Quik,SMD491-5M,Shared,Shared,No,1,"DigiKey cart. No-clean, halogen-free tack flux."
Test equipment,Bring-up / debugging,—,Digital multimeter,FLIR Extech,MN35,Shared,Shared,No,1,DigiKey cart. User currently owns no multimeter.
Assembly consumable,Assembly,—,Solder,Owned stock,SW-0650G; 0.6mm; Sn0.7Cu; 2% flux; 50g,Shared,Shared,Yes,0,Owned.
Assembly tool,Assembly,—,Soldering station,FEITA,T100A / T12 station,Shared,Shared,Yes,0,Owned.
Programming tool,Firmware / bring-up,—,ST-LINK programmer,STMicroelectronics / clone,ST-LINK V2 compatible; SWDIO/SWCLK/NRST/SWO/3V3/GND,Shared,Shared,Yes,0,Owned.
